x_m,y_m,n_Cu_m3,S_iz_Cu_m3_s,Bx_T,By_T,Bmag_T
-0.061875,0.021875,7.660170354068253e+16,874886786546.5409,-0.0024482322254555247,-5.897609186101714e-05,0.0024489424675092127
-0.061875,0.028124999999999997,9.95822146028873e+16,759871182931.2473,-0.0022339342276183304,3.852698524908944e-05,0.0022342664259029383
-0.061875,0.034374999999999996,1.6086357743543315e+17,660049705777.8251,-0.002021470230437434,0.00010990802124449285,0.002024455893735068
-0.061875,0.040624999999999994,1.685237477895015e+17,573471767904.4716,-0.0018140943113333133,0.00015709251618485588,0.0018208833650328012
-0.061875,0.046875,1.991644292057745e+17,498417956863.2403,-0.0016144869686031537,0.00018237096942353456,0.001624754548317339
-0.061875,0.05312499999999999,1.685237477895015e+17,433377770807.3539,-0.0014247456484776,0.00018825365065230047,0.0014371289433588678
-0.061875,0.059375,2.14484769913911e+17,377028775004.9158,-0.0012464071628463219,0.00017734137466212025,0.0012589601974493348
-0.061875,0.06562499999999999,2.7576613274645696e+17,328217233893.09595,-0.0010804935538796974,0.00015221744464906416,0.0010911628982104686
-0.061875,0.071875,2.8342630310052486e+17,285940356127.546,-0.000927573095603097,0.00011536288102085581,0.0009347194456114328
-0.061875,0.078125,2.910864734545937e+17,249330358118.78104,-0.0007878290597331322,6.909463812847195e-05,0.0007908531446343851
-0.061875,0.08437499999999999,2.987466438086614e+17,217640568627.49567,-0.0006611302541408989,1.5524823802194913e-05,0.0006613125078920697
-0.061875,0.09062499999999998,4.366297101818906e+17,190233507275.93106,-0.0005470988674254621,-4.3462062753526305e-05,0.0005488224864535115
-0.061875,0.09687499999999999,2.987466438086614e+17,166569239412.12866,-0.000445172607852122,-0.0001062172867840115,0.0004576688352877178
-0.061875,0.103125,3.6002800664120723e+17,146186962577.594,-0.00035465938049657734,-0.00017132484290646385,0.0003938724133157088
-0.061875,0.109375,2.7576613274645725e+17,128666551144.9926,-0.00027478374517468803,-0.0002375903685006512,0.00036325650691557213
-0.061875,0.11562499999999999,2.8342630310052486e+17,113580185405.06369,-0.00020472513313471682,-0.0003040247131958671,0.00036652886157962625
-0.061875,0.12187499999999998,3.447076659330715e+17,100497776577.61656,-0.00014364829767723366,-0.0003698243789867501,0.0003967428697765122
-0.061875,0.128125,3.0640681416273024e+17,89050724432.69284,-9.072677368597134e-05,-0.00043435055611705997,0.00044372486189379196
-0.061875,0.13437499999999997,3.2172715487086605e+17,78963635708.9731,-4.5160268736103345e-05,-0.0004971080339857704,0.0004991551335261563
-0.061875,0.140625,3.983288584115485e+17,70036585734.06311,-6.186946612683445e-06,-0.0005577248842477376,0.0005577591996709158
-0.061875,0.14687499999999998,3.6768817699527546e+17,62118033352.87739,2.6908470905879775e-05,-0.0006159335015523678,0.0006165210005677449
-0.061875,0.153125,2.5278562168425194e+17,55086399972.0356,5.4789937412786026e-05,-0.0006715533437544944,0.0006737847065268987
-0.061875,0.159375,3.37047495579004e+17,48839777758.40996,7.806790584999789e-05,-0.0007244755307624577,0.0007286696045515751
-0.061875,0.16562499999999997,4.059890287656167e+17,43290322613.46377,9.729910829831186e-05,-0.0007746493300609089,0.0007807359995795388
-0.061875,0.171875,3.983288584115485e+17,38361053458.339966,0.00011298776429788332,-0.0008220704675257496,0.0008297988240887297
